No,No Tebu,No Ruas,kode,Jarak,Panjang,Drata,Keliling,Berat,Brix,Kelas
1,95,2,118302,0.146659424,14.8,3.55,11.1,8.445945946,18.2,1
2,95,3,118303,0.229766431,15.8,3.5,10.3,7.594936709,18.6,1
3,95,4,118304,0.303367735,11.3,3.45,9.8,6.814159292,18.9,1
4,95,5,118305,0.368006518,12.5,3.45,11.3,8.4,19,1
5,95,6,118306,0.435632808,12.4,3.45,10.6,7.983870968,17.9,1
6,95,7,118307,0.511135253,15.4,3.5,10.7,8.116883117,17.6,1
7,95,8,118308,0.584464965,11.6,3.7,10.9,8.362068966,17.3,1
8,95,9,118309,0.65480717,14.3,4.6,10.9,8.531468531,17,1
9,95,10,118310,0.721075502,10.1,3.55,10.7,8.01980198,16.2,1
10,95,11,118311,0.784356328,13.2,3.5,10.8,8.257575758,15.9,0
11,95,12,118312,0.843834872,8.7,3.45,10.2,7.126436782,14.4,0
12,95,13,118313,0.888104291,7.6,3.3,10.2,6.578947368,12,0
13,95,14,118314,0.94133623,12,3.45,10.2,7,11,0
14,95,15,118315,1,9.6,3.4,9.8,6.458333333,9.2,0
15,96,1,118401,0.020037358,11.8,3.1,10.2,6.779661017,14.6,0
16,96,2,118402,0.054168789,8.3,3.2,9.8,5.903614458,13.8,0
17,96,3,118403,0.091866191,13.9,3.3,9.4,5.971223022,12,0
18,96,4,118404,0.132959755,10.3,3.25,9.6,6.213592233,13,0
19,96,5,118405,0.173543895,13.6,3.2,9.6,6.25,14.1,0
20,96,6,118406,0.212090338,9.1,3.2,9.6,6.373626374,15.9,0
21,96,7,118407,0.251146205,13.9,3.35,10,6.474820144,14.9,0
22,96,8,118408,0.29122092,9.7,3.2,10,6.597938144,15,0
23,96,9,118409,0.328918322,12.5,3.4,10.1,6.72,15,0
24,96,10,118410,0.366785532,9.8,3.35,9.8,6.428571429,14.8,0
25,96,11,118411,0.405331975,12.9,3.5,10.2,6.976744186,15.1,0
26,96,12,118412,0.571574121,85,3.4,10.4,0.705882353,14.2,0
27,96,13,118413,0.738325692,13.2,3.35,9.9,6.439393939,13.8,0
28,96,14,118414,0.778909832,10.7,3.35,9.8,6.355140187,14.8,0
29,96,15,118415,0.823399558,15.5,3.05,9.3,5.612903226,13.8,0
30,96,16,118416,0.872643912,13.5,2.75,8.8,4.962962963,13.8,0
31,96,17,118417,0.921209034,15.1,2.95,8.7,5.231788079,13,0
32,96,18,118418,0.963151639,9.6,2.95,8.5,4.479166667,13.3,0
33,96,19,118419,1,12.1,2.75,8.3,4.380165289,12,0
34,97,1,118501,0.063228541,17.9,2.6,8.5,5.810055866,18.2,1
35,97,2,118502,0.169198163,12.1,2.55,8.1,5.537190083,17.8,1
36,97,3,118503,0.266336983,15.4,2.8,8.3,5.649350649,17.9,1
37,97,4,118504,0.354998234,9.7,2.75,8.7,6.082474227,19,1
38,97,5,118505,0.43447545,12.8,2.65,9,6.71875,18.2,1
39,97,6,118506,0.513952667,9.7,2.75,9,6.494845361,17,1
40,97,7,118507,0.590250795,11.9,2.7,9,6.470588235,16.2,1
41,97,8,118508,0.661603674,8.3,2.95,9,6.385542169,15.9,0
42,97,9,118509,0.726245143,10,2.8,9.7,7.3,14.7,0
43,97,10,118510,0.788060756,7.5,2.85,9.4,7.066666667,14,0
44,97,11,118511,0.858000706,12.3,2.95,9.1,6.991869919,13.2,0
45,97,12,118512,0.932532674,8.8,2.95,9,5.909090909,12.2,0
46,97,13,118513,1,10.3,2.8,8.5,6.40776699,10,0
47,98,1,118601,0.030897081,14.5,2.85,9,6.620689655,15,0
48,98,2,118602,0.07841466,7.8,3.05,9.8,7.051282051,14.4,0
49,98,3,118603,0.121670573,12.5,2.9,10,7.6,16.4,1
50,98,4,118604,0.170253569,10.3,2.95,9.5,7.184466019,15.1,0
51,98,5,118605,0.220967398,13.5,3,9.7,7.111111111,17,1
52,98,6,118606,0.267845728,8.5,2.85,9.7,7.294117647,15.8,0
53,98,7,118607,0.310888557,11.7,2.8,9.5,7.008547009,16.8,1
54,98,8,118608,0.355849137,9.4,2.65,9.3,6.70212766,15.3,0
55,98,9,118609,0.402514383,12.5,2.85,9.2,6.64,17.3,1
56,98,10,118610,0.449179629,9.4,2.75,9,6.382978723,17.3,1
57,98,11,118611,0.492222459,10.8,2.65,9.1,6.203703704,16.6,1
58,98,12,118612,0.531429789,7.6,2.6,8.8,6.052631579,15.3,0
59,98,13,118613,0.567653953,9.4,2.9,9.3,7.234042553,15.9,0
60,98,14,118614,0.6040912,7.7,2.9,10.3,8.181818182,16.5,1
61,98,15,118615,0.648625613,13.2,2.95,10,7.954545455,15,0
62,98,16,118616,0.698913275,10.4,3,10,7.884615385,14.4,0
63,98,17,118617,0.753036437,15,3,9.8,7.733333333,14.3,0
64,98,18,118618,0.80524185,9.5,3.05,9.8,7.368421053,11,0
65,98,19,118619,0.851907096,12.4,3,9.7,7.096774194,12.5,0
66,98,20,118620,0.898572342,9.5,2.85,9.6,6.421052632,12,0
67,98,21,118621,0.946729171,13.1,2.75,9,6.106870229,11.8,0
68,98,22,118622,1,11.9,2.5,8.5,4.789915966,10,0
69,99,1,118701,0.044352265,13.9,2.9,9.7,7.410071942,17,1
70,99,2,118702,0.124122527,11.1,2.9,9.6,7.297297297,17.1,1
71,99,3,118703,0.20421187,14,2.9,10,7.928571429,16.8,1
72,99,4,118704,0.290044671,12.9,2.85,9.4,6.899224806,16.5,1
73,99,5,118705,0.378430121,14.8,3,9.5,7.567567568,15.8,0
74,99,6,118706,0.463943842,12,2.9,9.9,7.916666667,15.4,0
75,99,7,118707,0.559349075,17.9,3.1,9.6,7.709497207,15.1,0
76,99,8,118708,0.66145501,14.1,3.05,9.5,7.730496454,14.3,0
77,99,9,118709,0.757179324,15.9,2.95,10,8.050314465,14.2,0
78,99,10,118710,0.84141672,10.5,3.15,10,8.095238095,13.2,0
79,99,11,118711,0.919910657,14.1,2.95,10,7.943262411,10.2,0
80,99,12,118712,1,11,3,9.5,7.090909091,7.5,0
81,100,1,118801,0.046333333,13.9,3.5,10.5,7.338129496,13,0
82,100,2,118802,0.125333333,9.8,3.5,10.3,7.142857143,11,0
83,100,3,118803,0.209333333,15.4,3.5,10.2,7.272727273,13.5,0
84,100,4,118804,0.291333333,9.2,3.45,9.8,6.630434783,13.6,0
85,100,5,118805,0.36,11.4,3.5,10.4,6.842105263,15.5,0
86,100,6,118806,0.418333333,6.1,3.55,10.5,6.885245902,15.6,0
87,100,7,118807,0.467333333,8.6,3.7,11.4,8.604651163,16.1,1
88,100,8,118808,0.515333333,5.8,3.8,11.7,8.620689655,16.5,1
89,100,9,118809,0.571666667,11.1,3.8,11.4,8.198198198,16,1
90,100,10,118810,0.631,6.7,3.75,11,7.910447761,15.4,0
91,100,11,118811,0.686666667,10,3.45,10.5,7.4,15,0
92,100,12,118812,0.743,6.9,3.35,10.2,6.376811594,14.3,0
93,100,13,118813,0.796666667,9.2,3.5,10.5,7.391304348,14,0
94,100,14,118814,0.846,5.6,3.5,10.5,6.785714286,13.1,0
95,100,15,118815,0.896666667,9.6,3.45,10.4,7.1875,12.4,0
96,100,16,118816,0.950333333,6.5,3.4,10.2,5.846153846,10.9,0
97,100,17,118817,1,8.4,3.45,9.7,5.714285714,10,0
98,101,1,118901,0.030024344,11.1,2.95,9.8,7.477477477,13,0
99,101,2,118902,0.093859886,12.5,2.8,8.9,6.24,16.6,1
100,101,3,118903,0.172842846,16.7,15.35,8.9,6.407185629,17.5,1
101,101,4,118904,0.250743846,12.1,2.7,8.8,6.363636364,18.5,1
102,101,5,118905,0.324587503,15.2,2.6,8.7,5.921052632,18.1,1
103,101,6,118906,0.393562348,10.3,2.9,8.5,5.922330097,18.2,1
104,101,7,118907,0.455504463,12.6,2.45,8.4,5.634920635,18,1
105,101,8,118908,0.512307276,8.4,2.45,7.9,5,17.3,1
106,101,9,118909,0.560724912,9.5,2.6,9.2,6.421052632,17.6,1
107,101,10,118910,0.612117933,9.5,2.7,8.9,6.526315789,16.8,1
108,101,11,118911,0.67324858,13.1,2.65,9,6.717557252,16.2,1
109,101,12,118912,0.735731674,10,2.6,8.9,6.1,15.8,0
110,101,13,118913,0.805788477,15.9,2.7,8.6,5.786163522,15.1,0
111,101,14,118914,0.875033811,9.7,2.6,8.7,5.87628866,14.2,0
112,101,15,118915,0.936164458,12.9,2.6,8.5,5.813953488,13.4,0
113,101,16,118916,1,10.7,2.45,8.1,5.23364486,13.1,0
114,102,1,119001,0.032,12,3.8,11.2,8.916666667,18.2,1
115,102,2,119002,0.0872,8.7,3.55,10.7,7.816091954,18.4,1
116,102,3,119003,0.1488,14.4,3.55,10.9,8.194444444,18.2,1
117,102,4,119004,0.2152,10.5,3.5,10.7,7.523809524,18.2,1
118,102,5,119005,0.283466667,15.1,3.45,10,7.086092715,19,1
119,102,6,119006,0.355733333,12,3.35,10.2,6.833333333,18,1
120,102,7,119007,0.425066667,14,3.3,9.8,6.357142857,18.3,1
121,102,8,119008,0.487466667,9.4,3.2,9.3,5.531914894,17.6,1
122,102,9,119009,0.541866667,11,2.95,8.6,4.909090909,17.8,1
123,102,10,119010,0.590133333,7.1,2.95,8.7,4.647887324,18.9,1
124,102,11,119011,0.634933333,9.7,2.9,8.5,4.432989691,18.1,1
125,102,12,119012,0.685866667,9.4,3,9.2,5.106382979,17.3,1
126,102,13,119013,0.7408,11.2,3.35,10,6.964285714,17,1
127,102,14,119014,0.793066667,8.4,3.3,9.7,6.30952381,16.1,1
128,102,15,119015,0.8464,11.6,3.25,9.7,6.120689655,15.8,0
129,102,16,119016,0.897333333,7.5,3.15,9,5.333333333,12.9,0
130,102,17,119017,0.9456,10.6,3.2,9.4,5.754716981,11.4,0
131,102,18,119018,1,9.8,3.25,9.3,5.612244898,11,0
132,103,1,119101,0.030006668,13.5,3.05,9.5,7.851851852,17,1
133,103,2,119102,0.082018226,9.9,2.9,9.3,7.070707071,18.1,1
134,103,3,119103,0.141364748,16.8,3,9,6.964285714,18.5,1
135,103,4,119104,0.203156257,11,2.95,9.2,7.181818182,18.9,1
136,103,5,119105,0.257612803,13.5,3.05,9.7,0.792592593,19.1,1
137,103,6,119106,0.304956657,7.8,3.05,9.8,7.820512821,17.7,1
138,103,7,119107,0.346743721,11,3.05,9.7,7.909090909,19.3,1
139,103,8,119108,0.387419427,7.3,2.95,9.7,7.534246575,17.8,1
140,103,9,119109,0.430095577,11.9,2.95,9.6,7.142857143,19,1
141,103,10,119110,0.472771727,7.3,2.85,9.5,7.260273973,18.9,1
142,103,11,119111,0.513669704,11.1,2.8,9.2,6.666666667,18.5,1
143,103,12,119112,0.553678595,6.9,2.9,8.8,6.666666667,18.3,1
144,103,13,119113,0.597243832,12.7,2.85,8.9,6.614173228,18.4,1
145,103,14,119114,0.643254056,8,2.85,9.3,6.875,16.2,1
146,103,15,119115,0.688819738,12.5,2.95,9.8,8.08,17.6,1
147,103,16,119116,0.741275839,11.1,3.05,9.5,7.477477477,15.9,0
148,103,17,119117,0.798844188,14.8,3.15,9.8,7.972972973,15.3,0
149,103,18,119118,0.851967104,9.1,2.95,9.8,7.692307692,14,0
150,103,19,119119,0.900866859,12.9,3,9.5,7.364341085,13.5,0
151,103,20,119120,0.949766615,9.1,2.95,9.4,6.043956044,12.9,0
152,103,21,119121,1,13.5,2.75,9.3,6.740740741,10.8,0
153,104,1,119201,0.042675159,13.4,2.55,8.4,5.671641791,13,0
154,104,2,119202,0.118789809,10.5,2.55,8.3,5.238095238,13,0
155,104,3,119203,0.193630573,13,2.45,8,5.076923077,14,0
156,104,4,119204,0.276433121,13,2.45,8,5.076923077,14,0
157,104,5,119205,0.344267516,8.3,2.45,8.3,5.180722892,16.2,1
158,104,6,119206,0.406369427,11.2,2.8,8.1,5.535714286,17.4,1
159,104,7,119207,0.467197452,7.9,2.65,9,6.329113924,18,1
160,104,8,119208,0.533757962,13,2.75,9,6.384615385,17.2,1
161,104,9,119209,0.603821656,9,2.6,9,6.333333333,16.6,1
162,104,10,119210,0.668789809,11.4,2.75,9,6.578947368,15.8,0
163,104,11,119211,0.733757962,9,2.75,8.5,6.222222222,16,1
164,104,12,119212,0.799681529,11.7,2.75,9.1,6.581196581,14,0
165,104,13,119213,0.864968153,8.8,2.7,9.1,6.477272727,18.2,1
166,104,14,119214,0.930573248,11.8,2.8,9,6.610169492,14.5,0
167,104,15,119215,1,10,2.75,8.9,6.3,12.9,0
168,105,1,119301,0.030123131,13.7,3.6,10.4,7.810218978,17.8,1
169,105,2,119302,0.078276165,8.2,3.6,10.4,7.682926829,18.1,1
170,105,3,119303,0.127308707,14.1,3.55,10.5,7.80141844,18.5,1
171,105,4,119304,0.182937555,11.2,3.55,10.3,7.142857143,18,1
172,105,5,119305,0.238126649,13.9,3.45,10.4,7.338129496,18.2,1
173,105,6,119306,0.285620053,7.7,3.5,10.4,7.402597403,17.9,1
174,105,7,119307,0.329815303,12.4,3.3,10.5,7.258064516,18.6,1
175,105,8,119308,0.375769569,8.5,3.3,10,6.705882353,18.4,1
176,105,9,119309,0.422163588,12.6,3.2,9.7,6.349206349,18.8,1
177,105,10,119310,0.469656992,9,3.1,9.4,6,18.7,1
178,105,11,119311,0.512313105,10.4,3.1,9.2,5.769230769,18.9,1
179,105,12,119312,0.550131926,6.8,3.15,8.8,5.882352941,18.5,1
180,105,13,119313,0.586851363,9.9,3.4,9.7,6.666666667,19.2,1
181,105,14,119314,0.623790677,6.9,3.35,10.2,6.956521739,18.9,1
182,105,15,119315,0.664028144,11.4,3.35,9.8,6.666666667,18,1
183,105,16,119316,0.715259455,11.9,3.25,9.6,6.554621849,17.9,1
184,105,17,119317,0.762532982,9.6,3.2,9.7,6.354166667,16.8,1
185,105,18,119318,0.808707124,11.4,3.35,9.9,6.403508772,16.4,1
186,105,19,119319,0.852462621,8.5,3.3,9.6,6.352941176,15.5,0
187,105,20,119320,0.899516271,12.9,3.15,9.7,6.666666667,14.2,0
188,105,21,119321,0.94876869,9.5,3.25,9.8,6.315789474,13.2,0
189,105,22,119322,1,13.8,3.15,9.3,5.869565217,12.9,0
